0.2,-0.5,0.1,0,-0.8,0,-0.3,0,0,0,0,0,0
0.058487,-0.64304,-0.046408,-0.14503,-0.56635,-0.22313,-0.92098,0.068729,0.38857,-7.1987,-1.9054,-4.9047,0
0.091014,-0.64274,-0.046109,-0.07055,-0.37066,-0.22313,-0.9318,-0.013503,1.8922,-3.9571,0.12543,-2.1904,0
0.11939,-0.64245,-0.045826,-0.12608,-0.37248,-0.22313,-0.989,0.0045656,3.7775,-0.53835,2.4707,0.76841,0
0.13756,-0.64226,-0.045663,-0.13571,-0.39704,-0.22313,-0.94691,-0.0014255,5.8208,2.483,4.8085,3.4953,0
0.14998,-0.64213,-0.045553,-0.15066,-0.38219,-0.22313,-0.96708,0.00032094,8.0604,5.3926,7.2495,6.2035,0
0.15825,-0.64204,-0.045482,-0.15817,-0.38849,-0.22313,-0.95923,-0.00020804,10.405,8.1829,9.7279,8.8596,0
0.16383,-0.64198,-0.045435,-0.16398,-0.38579,-0.22313,-0.96244,-4.9545e-05,12.828,10.907,12.241,11.493,0
0.16757,-0.64194,-0.045404,-0.16764,-0.38665,-0.22313,-0.96147,-9.7095e-05,15.302,13.582,14.776,14.108,0
0.17007,-0.64191,-0.045383,-0.17017,-0.38618,-0.22313,-0.96202,-8.2738e-05,17.813,16.228,17.328,16.713,0
0.17174,-0.6419,-0.045369,-0.17183,-0.38617,-0.22313,-0.96205,-8.697e-05,20.35,18.855,19.892,19.313,0
0.17285,-0.64188,-0.04536,-0.17294,-0.386,-0.22313,-0.96227,-8.5618e-05,22.905,21.471,22.465,21.911,0
0.17358,-0.64188,-0.045354,-0.17367,-0.38587,-0.22313,-0.96244,-8.5944e-05,25.476,24.08,25.047,24.508,0
0.17404,-0.64187,-0.04535,-0.17414,-0.38572,-0.22313,-0.96263,-8.5767e-05,28.057,26.687,27.637,27.107,0
0.17434,-0.64187,-0.045348,-0.17443,-0.38557,-0.22313,-0.96283,-8.5741e-05,30.648,29.293,30.232,29.709,0
0.17451,-0.64187,-0.045346,-0.1746,-0.38541,-0.22313,-0.96305,-8.567e-05,33.247,31.902,32.834,32.315,0
0.17461,-0.51986,-0.023745,-0.1747,-0.38524,-0.22313,-0.96327,-8.5613e-05,35.853,34.513,35.441,34.924,0
0.17109,-0.53528,-0.029636,-0.17118,-0.032327,-0.8422,-0.69717,-8.5552e-05,35.606,34.077,35.138,34.545,0
0.17252,-0.53528,-0.029635,-0.17261,-0.23305,-0.46903,-0.86967,-8.5492e-05,35.621,34.168,35.175,34.613,0
0.17399,-0.53528,-0.029635,-0.17408,-0.23873,-0.45192,-0.88116,-8.5433e-05,35.59,34.216,35.168,34.638,0
0.1752,-0.53528,-0.029635,-0.17529,-0.24056,-0.45155,-0.87976,-8.5374e-05,35.561,34.253,35.159,34.655,0
0.17617,-0.53528,-0.029635,-0.17626,-0.24163,-0.44895,-0.88136,-8.5314e-05,35.539,34.283,35.153,34.669,0
0.17694,-0.53528,-0.029635,-0.17703,-0.24311,-0.44673,-0.88216,-8.5256e-05,35.521,34.307,35.148,34.681,0
0.17757,-0.53528,-0.029635,-0.17766,-0.24445,-0.44442,-0.88321,-8.5197e-05,35.507,34.326,35.144,34.69,0
0.17807,-0.53528,-0.029635,-0.17816,-0.24584,-0.44209,-0.88422,-8.5139e-05,35.496,34.342,35.14,34.698,0
0.17847,-0.53528,-0.029635,-0.17856,-0.24724,-0.43971,-0.88527,-8.5081e-05,35.487,34.355,35.138,34.704,0
0.17879,-0.53528,-0.029635,-0.17888,-0.24866,-0.43729,-0.88634,-8.5023e-05,35.48,34.365,35.136,34.709,0
0.17904,-0.53528,-0.029635,-0.17913,-0.25011,-0.43481,-0.88745,-8.4965e-05,35.475,34.374,35.135,34.713,0
0.17925,-0.53528,-0.029635,-0.17934,-0.2516,-0.43227,-0.88859,-8.4908e-05,35.471,34.381,35.134,34.717,0
0.17941,-0.53528,-0.029635,-0.17951,-0.25312,-0.42966,-0.88976,-8.4851e-05,35.467,34.386,35.134,34.72,0
0.17955,-0.53528,-0.029635,-0.17964,-0.25467,-0.42698,-0.89097,-8.4794e-05,35.465,34.391,35.133,34.723,0
0.17965,-0.53528,-0.029635,-0.17974,-0.25627,-0.42422,-0.89222,-8.4737e-05,35.463,34.395,35.133,34.725,0
0.17974,-0.53525,-0.029551,-0.17983,-0.25791,-0.42138,-0.8935,-8.4681e-05,35.462,34.398,35.134,34.727,0
0.1797,-0.53522,-0.029575,-0.1798,-0.25919,-0.41906,-0.89464,-8.4625e-05,35.463,34.398,35.134,34.727,0
0.17971,-0.53519,-0.029567,-0.1798,-0.26062,-0.4165,-0.89586,-8.4569e-05,35.464,34.399,35.135,34.728,0
0.1797,-0.53515,-0.029568,-0.17979,-0.26206,-0.41391,-0.89711,-8.4513e-05,35.465,34.399,35.136,34.728,0
0.17969,-0.53512,-0.029567,-0.17978,-0.26354,-0.41124,-0.8984,-8.4458e-05,35.466,34.4,35.137,34.729,0
0.17969,-0.53509,-0.029566,-0.17978,-0.26506,-0.4085,-0.89972,-8.4403e-05,35.467,34.4,35.137,34.73,0
0.17968,-0.53505,-0.029565,-0.17977,-0.26662,-0.40568,-0.90108,-8.4348e-05,35.468,34.401,35.138,34.73,0
0.17968,-0.53501,-0.029564,-0.17977,-0.26822,-0.40279,-0.90248,-8.4293e-05,35.469,34.402,35.139,34.731,0
0.17967,-0.53497,-0.029563,-0.17976,-0.26985,-0.39982,-0.90392,-8.4239e-05,35.47,34.402,35.14,34.732,0
